species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,49.00,19.50,210.00,3950.00,MALE
Chinstrap,Dream,46.20,17.50,187.00,3650.00,FEMALE
Chinstrap,Dream,50.90,19.10,196.00,3550.00,MALE
Chinstrap,Dream,45.50,17.00,196.00,3500.00,FEMALE
Chinstrap,Dream,50.90,17.90,196.00,3675.00,FEMALE
Chinstrap,Dream,50.80,18.50,201.00,4450.00,MALE
Chinstrap,Dream,50.10,17.90,190.00,3400.00,FEMALE
Chinstrap,Dream,49.00,19.60,212.00,4300.00,MALE
Chinstrap,Dream,51.50,18.70,187.00,3250.00,MALE
Chinstrap,Dream,49.80,17.30,198.00,3675.00,FEMALE
Chinstrap,Dream,48.10,16.40,199.00,3325.00,FEMALE
Chinstrap,Dream,51.40,19.00,201.00,3950.00,MALE
Chinstrap,Dream,45.70,17.30,193.00,3600.00,FEMALE
Chinstrap,Dream,50.70,19.70,203.00,4050.00,MALE
Chinstrap,Dream,42.50,17.30,187.00,3350.00,FEMALE
Chinstrap,Dream,52.20,18.80,197.00,3450.00,MALE
Chinstrap,Dream,45.20,16.60,191.00,3250.00,FEMALE
Chinstrap,Dream,49.30,19.90,203.00,4050.00,MALE
Chinstrap,Dream,50.20,18.80,202.00,3800.00,MALE
Chinstrap,Dream,45.60,19.40,194.00,3525.00,FEMALE
Chinstrap,Dream,51.90,19.50,206.00,3950.00,MALE
Chinstrap,Dream,46.80,16.50,189.00,3650.00,FEMALE
Chinstrap,Dream,45.70,17.00,195.00,3650.00,FEMALE
Chinstrap,Dream,55.80,19.80,207.00,4000.00,MALE
Chinstrap,Dream,43.50,18.10,202.00,3400.00,FEMALE
Chinstrap,Dream,49.60,18.20,193.00,3775.00,MALE
Chinstrap,Dream,50.80,19.00,210.00,4100.00,MALE
Chinstrap,Dream,50.20,18.70,198.00,3775.00,FEMALE
Gentoo,Biscoe,46.10,13.20,211.00,4500.00,FEMALE
Gentoo,Biscoe,50.00,16.30,230.00,5700.00,MALE
Gentoo,Biscoe,48.70,14.10,210.00,4450.00,FEMALE
Gentoo,Biscoe,50.00,15.20,218.00,5700.00,MALE
Gentoo,Biscoe,47.60,14.50,215.00,5400.00,MALE
Gentoo,Biscoe,46.50,13.50,210.00,4550.00,FEMALE
Gentoo,Biscoe,45.40,14.60,211.00,4800.00,FEMALE
Gentoo,Biscoe,46.70,15.30,219.00,5200.00,MALE
Gentoo,Biscoe,43.30,13.40,209.00,4400.00,FEMALE
Gentoo,Biscoe,46.80,15.40,215.00,5150.00,MALE
Gentoo,Biscoe,40.90,13.70,214.00,4650.00,FEMALE
Gentoo,Biscoe,49.00,16.10,216.00,5550.00,MALE
Gentoo,Biscoe,45.50,13.70,214.00,4650.00,FEMALE
Gentoo,Biscoe,48.40,14.60,213.00,5850.00,MALE
Gentoo,Biscoe,45.80,14.60,210.00,4200.00,FEMALE
Gentoo,Biscoe,49.30,15.70,217.00,5850.00,MALE
Gentoo,Biscoe,42.00,13.50,210.00,4150.00,FEMALE
Gentoo,Biscoe,49.20,15.20,221.00,6300.00,MALE
Gentoo,Biscoe,46.20,14.50,209.00,4800.00,FEMALE
Gentoo,Biscoe,48.70,15.10,222.00,5350.00,MALE
Gentoo,Biscoe,50.20,14.30,218.00,5700.00,MALE
Gentoo,Biscoe,45.10,14.50,215.00,5000.00,FEMALE
Gentoo,Biscoe,46.50,14.50,213.00,4400.00,FEMALE
Gentoo,Biscoe,46.30,15.80,215.00,5050.00,MALE
Gentoo,Biscoe,42.90,13.10,215.00,5000.00,FEMALE
Gentoo,Biscoe,46.10,15.10,215.00,5100.00,MALE
Gentoo,Biscoe,44.50,14.30,216.00,4100.00,NA
Gentoo,Biscoe,47.80,15.00,215.00,5650.00,MALE
Gentoo,Biscoe,48.20,14.30,210.00,4600.00,FEMALE
Gentoo,Biscoe,50.00,15.30,220.00,5550.00,MALE
Gentoo,Biscoe,47.30,15.30,222.00,5250.00,MALE
Gentoo,Biscoe,42.80,14.20,209.00,4700.00,FEMALE
Gentoo,Biscoe,45.10,14.50,207.00,5050.00,FEMALE
Gentoo,Biscoe,59.60,17.00,230.00,6050.00,MALE
Gentoo,Biscoe,49.10,14.80,220.00,5150.00,FEMALE
Gentoo,Biscoe,48.40,16.30,220.00,5400.00,MALE
Gentoo,Biscoe,42.60,13.70,213.00,4950.00,FEMALE
Gentoo,Biscoe,44.40,17.30,219.00,5250.00,MALE
Gentoo,Biscoe,44.00,13.60,208.00,4350.00,FEMALE
Gentoo,Biscoe,48.70,15.70,208.00,5350.00,MALE
Gentoo,Biscoe,42.70,13.70,208.00,3950.00,FEMALE
Gentoo,Biscoe,49.60,16.00,225.00,5700.00,MALE
Gentoo,Biscoe,45.30,13.70,210.00,4300.00,FEMALE
Gentoo,Biscoe,49.60,15.00,216.00,4750.00,MALE
Gentoo,Biscoe,50.50,15.90,222.00,5550.00,MALE
Gentoo,Biscoe,43.60,13.90,217.00,4900.00,FEMALE
Gentoo,Biscoe,45.50,13.90,210.00,4200.00,FEMALE
Gentoo,Biscoe,50.50,15.90,225.00,5400.00,MALE
Gentoo,Biscoe,44.90,13.30,213.00,5100.00,FEMALE
Gentoo,Biscoe,45.20,15.80,215.00,5300.00,MALE
Gentoo,Biscoe,46.60,14.20,210.00,4850.00,FEMALE
Gentoo,Biscoe,48.50,14.10,220.00,5300.00,MALE
Gentoo,Biscoe,45.10,14.40,210.00,4400.00,FEMALE
Gentoo,Biscoe,50.10,15.00,225.00,5000.00,MALE
Gentoo,Biscoe,46.50,14.40,217.00,4900.00,FEMALE
Gentoo,Biscoe,45.00,15.40,220.00,5050.00,MALE
Gentoo,Biscoe,43.80,13.90,208.00,4300.00,FEMALE
Gentoo,Biscoe,45.50,15.00,220.00,5000.00,MALE
Gentoo,Biscoe,43.20,14.50,208.00,4450.00,FEMALE
Gentoo,Biscoe,50.40,15.30,224.00,5550.00,MALE
Gentoo,Biscoe,45.30,13.80,208.00,4200.00,FEMALE
Gentoo,Biscoe,46.20,14.90,221.00,5300.00,MALE
Gentoo,Biscoe,45.70,13.90,214.00,4400.00,FEMALE
Gentoo,Biscoe,54.30,15.70,231.00,5650.00,MALE
Gentoo,Biscoe,45.80,14.20,219.00,4700.00,FEMALE
Gentoo,Biscoe,49.80,16.80,230.00,5700.00,MALE
Gentoo,Biscoe,46.20,14.40,214.00,4650.00,NA
Gentoo,Biscoe,49.50,16.20,229.00,5800.00,MALE
Gentoo,Biscoe,43.50,14.20,220.00,4700.00,FEMALE
Gentoo,Biscoe,50.70,15.00,223.00,5550.00,MALE
Gentoo,Biscoe,47.70,15.00,216.00,4750.00,FEMALE
Gentoo,Biscoe,46.40,15.60,221.00,5000.00,MALE
Gentoo,Biscoe,48.20,15.60,221.00,5100.00,MALE
Gentoo,Biscoe,46.50,14.80,217.00,5200.00,FEMALE
Gentoo,Biscoe,46.40,15.00,216.00,4700.00,FEMALE
Gentoo,Biscoe,48.60,16.00,230.00,5800.00,MALE
Gentoo,Biscoe,47.50,14.20,209.00,4600.00,FEMALE
Gentoo,Biscoe,51.10,16.30,220.00,6000.00,MALE
Gentoo,Biscoe,45.20,13.80,215.00,4750.00,FEMALE
Gentoo,Biscoe,45.20,16.40,223.00,5950.00,MALE
Gentoo,Biscoe,49.10,14.50,212.00,4625.00,FEMALE
Gentoo,Biscoe,52.50,15.60,221.00,5450.00,MALE
Gentoo,Biscoe,47.40,14.60,212.00,4725.00,FEMALE
Gentoo,Biscoe,50.00,15.90,224.00,5350.00,MALE
Gentoo,Biscoe,44.90,13.80,212.00,4750.00,FEMALE
Gentoo,Biscoe,50.80,17.30,228.00,5600.00,MALE
Gentoo,Biscoe,43.40,14.40,218.00,4600.00,FEMALE
Gentoo,Biscoe,51.30,14.20,218.00,5300.00,MALE
Gentoo,Biscoe,47.50,14.00,212.00,4875.00,FEMALE
Gentoo,Biscoe,52.10,17.00,230.00,5550.00,MALE
Gentoo,Biscoe,47.50,15.00,218.00,4950.00,FEMALE
Gentoo,Biscoe,52.20,17.10,228.00,5400.00,MALE
Gentoo,Biscoe,45.50,14.50,212.00,4750.00,FEMALE
Gentoo,Biscoe,49.50,16.10,224.00,5650.00,MALE
Gentoo,Biscoe,44.50,14.70,214.00,4850.00,FEMALE
Gentoo,Biscoe,50.80,15.70,226.00,5200.00,MALE
Gentoo,Biscoe,49.40,15.80,216.00,4925.00,MALE
Gentoo,Biscoe,46.90,14.60,222.00,4875.00,FEMALE
Gentoo,Biscoe,48.40,14.40,203.00,4625.00,FEMALE
Gentoo,Biscoe,51.10,16.50,225.00,5250.00,MALE
Gentoo,Biscoe,48.50,15.00,219.00,4850.00,FEMALE
Gentoo,Biscoe,55.90,17.00,228.00,5600.00,MALE
Gentoo,Biscoe,47.20,15.50,215.00,4975.00,FEMALE
Gentoo,Biscoe,49.10,15.00,228.00,5500.00,MALE
Gentoo,Biscoe,47.30,13.80,216.00,4725.00,NA
Gentoo,Biscoe,46.80,16.10,215.00,5500.00,MALE
Gentoo,Biscoe,41.70,14.70,210.00,4700.00,FEMALE
Gentoo,Biscoe,53.40,15.80,219.00,5500.00,MALE
Gentoo,Biscoe,43.30,14.00,208.00,4575.00,FEMALE
Gentoo,Biscoe,48.10,15.10,209.00,5500.00,MALE
Gentoo,Biscoe,50.50,15.20,216.00,5000.00,FEMALE
Gentoo,Biscoe,49.80,15.90,229.00,5950.00,MALE
Gentoo,Biscoe,43.50,15.20,213.00,4650.00,FEMALE
Gentoo,Biscoe,51.50,16.30,230.00,5500.00,MALE
Gentoo,Biscoe,46.20,14.10,217.00,4375.00,FEMALE
Gentoo,Biscoe,55.10,16.00,230.00,5850.00,MALE
Gentoo,Biscoe,44.50,15.70,217.00,4875.00,.
Gentoo,Biscoe,48.80,16.20,222.00,6000.00,MALE
Gentoo,Biscoe,47.20,13.70,214.00,4925.00,FEMALE
Gentoo,Biscoe,NA,NA,NA,NA,NA
Gentoo,Biscoe,46.80,14.30,215.00,4850.00,FEMALE
Gentoo,Biscoe,50.40,15.70,222.00,5750.00,MALE
Gentoo,Biscoe,45.20,14.80,212.00,5200.00,FEMALE
Gentoo,Biscoe,49.90,16.10,213.00,5400.00,MALE
